"Begriff","Definition"
"Design Pattern","Eine wiederverwendbare Lösung für ein Gestaltungsproblem innerhalb eines Kontexts. Ein Design Pattern beschreibt ein Gestaltungsproblem, eine Lösung und wo sich diese Lösung als funktionierend herausgestellt hat.
Anmerkung:
1.	Auf Deutsch wird „design pattern“ manchmal als „Entwurfsmuster“ bezeichnet.
Anmerkung zum Training:
1.	Verschiedene Webseiten bieten freien Zugang zu einer großen Auswahl an Design Patterns z.B. www.welie.com "
"Dialog","Interaktion zwischen einem Benutzer und einem interaktiven System in Form einer Folge von Handlungen des Benutzers (Eingaben) und Antworten des interaktiven Systems (Ausgaben), um ein Ziel zu erreichen."
"Dialogprinzipien","Allgemeine Ziele für das Dialogdesign.
Anmerkungen
1.	Dialogprinzipien sind unabhängig von einer spezifischen Technologie oder Technik
2.	Aufgrund ihrer Allgemeingültigkeit kann es schwierig sein, Dialogprinzipien im konkreten Kontext umzusetzen.
3.	Die DIN EN ISO 9241-110 führt folgende sieben Dialogprinzipien auf:
a.	Aufgabenangemessenheit,
b.	Selbstbeschreibungsfähigkeit,
c.	Erwartungskonformität,
d.	Lernförderlichkeit,
e.	Steuerbarkeit,
f.	Fehlertoleranz,
g.	Individualisierbarkeit.
4.	Vergleiche Dialogprinzip mit 
a.	Heuristik: Daumenregel, die der Umsetzung von Dialogprinzipien dient aber konkreter und einfacher anzuwenden ist.
b.	Gestaltungsregel: Spezifischer Regel für das Design der Benutzungsschnittstelle."
"Direkter Benutzer","Eine Person, die mit einem interaktiven System interagiert.
Anmerkung
1.	Ein direkter Benutzer ist ein primärer ode rein sekundärer Benutzer.
Beispiele für direkte Benutzer
1.	Ein Kundenbetreuer in einem Call-Center der ein Computersystem nutzt ist ein direkter Benutzer des Computersystems. Ein Kunde der das Call-Center anruft ist zwar ein direkter Nutzer des Services des Kundenbetreuers aber nur ein indirekter Benutzer des Computersystems. "
"Dringlichkeits­stufe","Ein Maß für ein Usability-Problem aus einem Usability-Test, das die Auswirkung des Usability-Problems auf das Benutzererlebnis bewertet.
Anmerkungen: 
1.	Der Usability-Tester bewertet Usability-Probleme aus Sicht der Usability-Testteilnehmer. Manchmal erfolgen die Bewertungen in Kooperation des Usability-Testers mit einem Experten des Fachgebiets. 
2.	Typische Dringlichkeits­stufen sind: niedrig, ernst, kritisch, lebensbedrohend."
"Effektivität","Ausmaß der Vollständigkeit und Genauigkeit der Zielerreichung.
Anmerkungen: 
1.	Die Effektivität ist eines der drei messbaren Attribute für Usability. Die anderen beiden Attribute sind Effizienz und Zufriedenstellung.
2.	Die Effektivität ist ein Attribut von Usability, das auf die prinzipielle Fähigkeit zur Aufgabenerledigung verweist."
"Effizienz","Eingesetzte Ressourcen, um bestimmte Ziele zu erreichen.
Anmerkungen:
1. Ressourcen beinhalten zeitliche, finanzielle und  materielle Aufwände sowie mentale Aufwände die aus menschlichem Wahrnehmen, Denken und Handeln resultieren  
2.	Effizienz ist eines der drei messbaren Attribute von Usability. Die anderen beiden Attribute sind Effektivität und Zufriedenstellung. 
3.	Effizienz ist ein Attribut von Usability welches auf die Erledigung einer Aufgabe mit einem akzeptierbarem Aufwand verweist.   "
"Erfordernis","Eine für einen Benutzer oder eine Benutzergruppe als notwendig identifizierte Voraussetzung, um ein Ziel innerhalb eines bestimmten Nutzungskontextes zu erreichen. 
Anmerkungen:
1.	Ein Erfordernis ist unabhängig von jeglicher vorgeschlagenen Lösung für dieses Erfordernis. Mit anderen Worten: Ein Erfordernis darf nicht auf z.B. ”das System” oder ”die Website” hinweisen.
2.	Erfordernisse werden aufgrund verschiedener Ansätze identifiziert, unter anderem  Interviews mit Benutzern, Beobachtungen, Benutzerbefragungen, Usability-Evaluierungen, Expertenanalyse usw.
3.	Erfordernisse repräsentieren oftmals Lücken (oder Diskrepanzen) zwischen dem was ist und dem was sein soll.
4.	Erfordernisse werden transformiert in Nutzungsanforderungen, die den Nutzungskontext, Benutzerprioritäten sowie das Wechselspiel mit anderen Anforderungen und -Einschränkungen mit berücksichtigen. 
4.	„Erfordernis“ heisst auf Englisch „User need“.
Beispiele für Erfordernisse:
1.	Ein Vortragender (Benutzer) muss wissen, wie viel Zeit er noch hat (Voraussetzung), um den Vortrag während einer Präsentation mit einer festgelegten Zeitbeschränkung  (Nutzungskontext) abschliessen zu können (Ziel).
2.	Ein Finanzbuchhalter (Benutzer) muss die Anzahl der erhaltenen Rechnungen und ihre Beträge kennen (Voraussetzung) um die tägliche Rechnungsstellung (Ziel) als Teil der Cashflow-Kontrolle (Nutzungskontext) fertigstellen zu können."
"Erwartungs­konformität","Übereinstimmung mit den aus dem Nutzungskontext heraus vorhersehbaren Benutzerbelangen sowie allgemein anerkannten Konventionen.
Anmerkungen:
1.	Konsistenz ist ein Aspekt der Erwartungskonformität.
2.	Erwartungskonformität ist ein Dialogprinzip.
"
"Evaluierung","Siehe Usability-Evaluierung"
"Evaluierungs-bericht","Ein Dokument, in dem die Ergebnisse eines Usability-Tests, einer Inspektion oder einer Benutzerbefragung dokumentiert werden.
Anmerkung:
1.	Das Dokument für einen Usability-Test wird üblicherweise als Usability-Testbericht bezeichnet."
"Facilitator","Siehe Moderator"
"Fehlertoleranz","Die Eigenschaft eines Dialogs das beabsichtigte Arbeitsergebnis trotz erkennbar fehlerhafter Eingaben entweder mit keinem oder mit minimalem Korrekturaufwand seitens des Benutzers zu erreichen.
Anmerkung:
1.	Fehlertoleranz ist ein Dialogprinzip.
Beispiele für Fehlertoleranz:
1.	Wenn ein Fehler auftritt, sollte das interaktive System eine genaue und verständliche Erklärung anbieten und konstruktiv eine Lösung vorschlagen, also was als nächstes zu tun ist.
2.	Wenn aus einer Benutzeraktion schwerwiegende Folgen entstehen können, dann sollte das interaktive System eine Erklärung anbieten und eine Bestätigung vor der Durchführung der Aktion durch den Benutzer einholen."
"Fokusgruppe","Eine gezielte Diskussion, bei der ein Moderator eine Gruppe von Teilnehmern durch eine Menge von Fragen zu einem bestimmten Thema führt. 
Anmerkungen: 
1.	Die Durchführung von Fokusgruppen ist kein Ersatz für eine Usability-Evaluierung.
2.	Fokusgruppen befassen sich mit Meinungen, Usability-Tests mit der Beobachtung des tatsächlichen Benutzerverhaltens."
"Formative Usability-Evaluierung","Eine Art der Usability-Evaluierung die hilft, das Design für ein interaktives System zu verbessern, besonders während es noch gestaltet wird.
Anmerkung:
1.	Vergleiche mit Summative Usability-Evaluierung."
"Fragebogen","Ein Satz von Fragen, der von Benutzern in einer Benutzerbefragung beantwortet wird, um  Daten zu sammeln.
Anmerkungen: 
1.	Zwei wichtige Verwendungszwecke von Fragebögen im Bereich Usability sind:
a.	Um den Nutzungskontext zu verstehen. Die gestellten Fragen beziehen sich auf die Erfahurngen die ein Benutzer mit dem momentanen, interaktiven System gemacht hat und die Erwartungen, die er an ein neues interaktives System stellt. 
b.	Um das Benutzererlebnis vor, während und nach der Benutzung eines interaktiven Systems zu evaluieren.
2.	Fragebögen müssen benutzbar sein. Sie müssen den Dialogprinzipien folgen, z.B.
a.	Jede Frage muss einen wesentlichen Beitrag zur Beantwortung der globalen Fragestellung liefern.
b.	Fragen müssen leicht zu verstehen sein.
c.	Der Fragebogen muss die Benutzer hinsichtlich ihres Fortschritts in der Beantwortung der Fragen auf dem Laufenden halten.
d.	Der Fragebogen muss anhand eines Usability-Tests optimiert worden sein.
3.	Diese Definition bezieht sich sowohl auf Digitale- als auch auf Papierfragebögen.
Beispielfragen um den Nutzungskontext zu verstehen:
1. 	“Wann haben Sie das letzte Mal die Website für Autovermietung benutzt? Was wollten Sie auf der Seite tun?“
2.	“Was erwarten Sie von einer Website für Autovermietung?”
Beispiele für Fragen zur Evaluierung der Zufriedenstellung:
1.	“Auf einer Skala von 1 bis 5, bei der 1 für “stimme gar nicht zu“, 3 „neutral“ und 5 für „stimme voll  zu“ steht, bewerten Sie bitte die folgenden Aussagen:
a.	Die neue Website für Autovermietung sieht cool aus.
b.	Die neue Website für Autovermietung ist einfach zu benutzen.
c.	Die neue Website für Autovermietung ermöglicht schnelles Mieten von Autos."
"Gebrauchs­tauglichkeit","Siehe Usability"
"Geschlossene Frage","Eine Interviewfrage die eine Antwort aus einem vordefinierten Satz von Alternativen fordert, oft einfach „ja“ oder „nein“.
Anmerkungen: 
1.	Vermeide mehrere geschlossene Fragen hintereinander. Sie unterbrechen den Redefluss der Benutzer weil sie sich wie ein Polizeiverhör anhören. 
2.	Vergleiche mit offene Frage.
Beispiel für geschlossene Frage:
1.	„Haben Sie jemals ein Auto gemietet?“ Entsprechende offene Frage: „Bitte erzählen Sie mir von dem letzten Mal wo Sie ein Auto gemietet haben.“"
"Gestaltungsregel","Konkrete, spezifische Instruktion oder Empfehlung, die wenig Interpretationsspielraum lässt, so dass verschiedene Designer sie ähnlich umsetzen.
Anmerkungen:
1. 	Sammlungen von Gestaltungsregeln werden als Styleguides bezeichnet.
2. 	Design Patterns müssen relevante Gestaltungsregeln erfüllen.
3. 	Vergleiche Gestaltungsregel mit
a.	Dialogprinzip – ein generelles Ziel für das Dialogdesign. Evtl. schwierig anzuwenden auf Grund der Allgemeingültigkeit.
b.	Heuristik – Eine Daumenregel die bei der Erreichung von Dialogprinzipien hilft. Diese ist spezifischer und einfacher anzuwenden als ein Dialogprinzip.
Beispiele für Gestaltungsregeln:
1.	Für alle Steuerelemente, wie z.B. Buttons, wähle den zuverlässigsten, sichersten Wert als Voreinstellung um den Datenverlust bzw. den risikablen Systemzugriff zu verhindern. Wenn Sicherheit und Schutz der Daten keine relevanten Faktoren sind, wähle den häufigsten oder bequemsten Wert.
2. 	Das Firmenlogo muss in der oberen, linken Ecke jeder Seite erscheinen. Die Position muss exakt die gleiche sein wie die auf der Homepage. Klicken auf das Logo muss die Anzeige der Homepage zur Folge haben.
3. 	Die Höhe eines Buttons muss 23 Pixel betragen"
"Heuristik","Eine allgemein anerkannte Daumenregel die hilft Usability zu erreichen.
Anmerkungen:
Heuristiken dienen hauptsächlich dazu, Usability zu gewährleisten (und nicht Nützlichkeit). 
Vergleiche Heuristik mit
a.  Dialogprinzip – ein allgemeines Ziel für das Design von Dialogen. Ist möglicherweise schwieriger anzuwenden auf Grund seiner Allgemeingültigkeit. 
b.  Gestaltungsregel – einfache, aber  spezifische Regel für Gestaltung von Benutzungs­schnittstellen.
Beispiele allgemein anerkannter Heuristiken (von Jakob Nielsen und Rolf Molich):
1.	Beachte Konventionen der realen Welt, z.B. sprich die Sprache der Benutzer
2.	Beachte Konventionen der verwendeten Plattform
3.	Minimiere die Notwendigkeit zur Erinnerung beim Benutzers in dem Objekte, Handlungen und Optionen sichtbar gemacht werden.
4.	Biete angemessenes Feedback innerhalb angemessener Zeit
5.	Hilf Benutzern beim Erkennen, Verstehen und Beseitigen von Fehlern.
"
"Heuristische Evaluierung","Eine Methode der Usability-Evaluierung bei der ein oder mehrere Begutachter – vorzugsweise Experten – ein interaktives System mit einer Liste von Heuristiken vergleichen und feststellen an welchen Stellen das interaktive System diesen Heuristiken nicht folgt.
Anmerkungen:
1.	Die Liste der Heuristiken muss handhabbar sein. Üblicherweise werden etwa 10 Heuristiken benutzt.
2.	Experten können Usability-Experten oder Experten im Anwendungsbereich sein."
"High-fidelity-Prototyp","Ein Software Prototyp der Benutzungsschnittstelle des zu designenden interaktiven Systems. Ein high-fidelity-Prototyp ähnelt dem fertigen interaktiven System und kann interaktiv oder nicht interaktiv sein.
Anmerkungen:
1.	Vergleiche mit low-fidelity-Prototyp.
2.	High-fidelity-Prototypen können entweder mit einem Programm zum Prototyping oder mit einem Büroprogramm (wie z.B. PowerPoint) entworfen werden. "
"Indirekter Benutzer","Personen, die direkt die Ergebnisse eines interaktiven Systems nutzen, aber nicht direkt mit dem System interagieren. 
Beispiel für indirekter Benutzer:
1.	Ein Bankkunde, der ein Dokument oder einen elektronischen Bericht erhält, oder eine Filiale besucht, ist ein indirekter Benutzer eines Arbeitsergebnisses, das mit Hilfe eines Systems erzeugt wurde, das die Mitarbeiter der Bank benutzen."
"Individualisier­barkeit","Die Eigenschaft eines Dialogs die Benutzer ermöglicht die Interaktion mit dem System und die Darstellung von Informationen an ihre individuellen Fähigkeiten und Bedürfnisse anpassen zu können.
Anmerkung:
1.	Individualisierbarkeit ist ein Dialogprinzip."
"Informations­architekt","Eine Person die die Struktur von Information in interaktiven Systemen für das effiziente Auffinden durch jede Benutzergruppe kreiert und organisiert.
Anmerkung:
1.	Informationsarchitekt ist eine Rolle im Prozess der menschzentrierten Gestaltung."
"Informations­architektur","Die Benennung und Strukturierung der Informationen die für den Benutzer erreichbar sein müssen einschließlich der Nutzungsobjekte, Systemobjekte (wie z.B. „Drucker“) und weiterer für den Benutzer erforderlichen Informationen. "
"Inspektion","Siehe inspektionsbasierte Usability-Evaluierung"
"Inspektions­basierte Usability-Evaluierung","Usability-Evaluierung die auf der Beurteilung ein oder mehrerer Evaluatoren basiert, die ein interaktives System prüfen oder benutzen, um potentielle Usability-Probleme und Abweichungen von anerkannten Kriterien zu identifizieren.
Anmerkungen:
1.	Inspektionsbasierte Usability-Evaluierung wird oft von Usability-Experten oder Fachexperten durchgeführt, die ihre Urteile auf die frühere Erfahrung mit Usability-Problemen und ihr eigenes Wissen über Gestaltungsregeln und Styleguides gründen.
2.	Heuristische Evaluierung ist eine Vorgehensweise für Inspektionsbasierte Usability-Evaluierung."
"Interaktions­designer","Eine Person die die Interaktion zwischen Mensch und System auf Basis der Nutzungs­anforderungen und Nutzungskontext definiert und konzipiert. 
Anmerkung:
1.	Szenarien und Personas sind auch wichtige Grundlagen für die Arbeit des Interaktionsdesigners.
2.	Interaktionsdesigner ist eine Rolle im Prozess der menschzentrierten Gestaltung."
"Interaktives System","Kombination von Hardware-, Software- und Servicekomponenten, die Eingaben von einem Benutzer empfängt und Ausgaben zu einem Benutzer übermittelt.
Anmerkung:
1.	Das schließt, wo relevant, Verpackung, Branding, Benutzerdokumentation, Onlinehilfe, Support und Training mit ein.  "
"Interessen­vertreter","Individuum oder Organisation, die ein Anrecht, einen Anteil, einen Anspruch oder ein Interesse auf ein interaktives System oder an dessen Merkmalen hat, die ihren Erfordernissen und Erwartungen entsprechen. 
Anmerkungen: 
1.	Alle Benutzer sind Interessenvertreter.
2.	Siehe auch unterschiedliche Typen von Anforderungen
3.	Die folgenden Beispiele für Interessenvertreter zeigen die breite Perspektive dieses Begriffs
4.	Der englische Ausdruck für Interessenvertreter ist Stakeholder
Beispiele für Interessenvertreter: 
1.	Benutzer, Support, Trainer, Autoren von Dokumentationen, Entwickler, Manager von Entwicklern und Personen im Marketing."
"Interessen­vertreter­anforderung","Was das interaktive System aus Sicht des Interessenvertreters leisten muss.
Anmerkung:
1.	Der englische Ausdruck für Interessenvertreteranforderung ist Stakeholder requirement."
"Interview","Eine Methode der Datensammlung, die sorgfältig ausgewählte Individuen untersucht, um ein tiefes Verständnis der Arbeitstätigkeit der Benutzer zu erreichen. Durch die Befragung und Interpretation werden Gemeinsamkeiten und Unterschiede innerhalb der Benutzer  eines interaktiven Systems aufgedeckt.  
Anmerkungen: 
1.	In einem Interview führt der Interviewer (der User Requirements Engineer) üblicherweise ein Briefing durch und stellt danach dem Benutzer Fragen über die üblichen Abläufe vor dem Hintergrund des geplanten interaktiven Systems. Der Interviewer nutzt eine Interviewcheckliste, um sicherzustellen, dass zu allen relevanten Aspekten befragt wurde.
2.	Das Meister-Schüler-Modell sollte beim Interview Anwendung finden.
3.	Interviewfragen sollten 
a.	eher offen als geschlossen
b.	eher neutral als suggestiv
formuliert sein.
4.	Vergleiche kontextuelles Interview, Pre-Session Interview und Post-Session Interview"
"Interview–checkliste","Eine schriftliche Liste passender Fragen und Hinweise, die während eines Interviews verwendet wird, um sicherzustellen, dass alle relevanten Themen berücksichtigt werden."
"Intuitiv","Die Benutzung des interaktiven Systems ist unmittelbar zu verstehen – unabhängig von der Erfahrung, vom Wissen, von den Sprachkenntnissen oder vom momentanen Konzentrationsgrad des Benutzers.
Anmerkung:
1.	Affordance und Selbstbeschreibungsfähigkeit sind Mittel, ein interaktives System intuitiv zu gestalten."
"ISO 9241","Eine Reihe von Standards, die die menschzentrierte Gestaltung interaktiver Systeme betrifft.  
Anmerkung:
1.	ISO 9241 beinhaltet Standards zu den Themen
a.	Software-Ergonomie
b.	Prozess menschzentrierter Gestaltung
c.	Displays und Display bezogene Hardware
d.	Physikalisches Eingabegeräte
e.	Ergonomie des Arbeitsplatzes
f.	Ergonomie der Umgebung
g.	Kontrollzentren
h.	Taktile und haptische Interaktionen"
"Iterativ","Wiederholend.
Ein iteratives Vorgehen wiederholt Schritte des Prozesses der menschzentrierten Gestaltung solange, bis eine Usability-Evaluierung der Benutzungsschnittstelle zeigt, dass die Nutzungsanforderungen ausreichend erfüllt sind."
"Konsistenz","Die gleiche Information wird in gleicher Weise innerhalb des gesamten interaktiven Systems entsprechend der Benutzererwartung dargestellt.
Anmerkungen:
1.	Konsistenz ist eine Komponente der Erwartungskonformität. 
2.	Konsistenz ist auf verschiedenen Ebenen relevant wie zum Beispiel 
a.	innerhalb einer Bildschirmanzeige,
b.	zwischen den Bildschirmanzeigen desselben interaktiven Systems, 
c.	zwischen interaktiven Systemen desselben Herstellers,
d.	zwischen ähnlichen interaktiven Systemen unterschiedlicher Hersteller."
"Kontextuelles Interview","Ein Interview das dort stattfindet wo die Interaktion des Benutzers mit dem interaktiven System üblicherweise stattfindet, z.B. am Arbeitsplatz des Benutzers.
Anmerkungen: 
1.	„Kontextuelles Interview“ wird auf Englisch oft als „Contextual inquiry“ bezeichnet."
